#;PSRJ;;RAJ;;;DECJ;;;PMRA;;;PMDEC;;;POSEPOCH;;BINARY;;BINCOMP;;
;;;(hms);;;(dms);;;(mas/yr);;;(mas/yr);;;(MJD);;(type);;;;
147;J0335+6623;slr+14;03:35:57.06;1.3e-01;lsk+18;+66:23:23.6;1.0e+00;lsk+18;*;0;*;*;0;*;56500.00;*;*;*;*;*;
148;J0337+1715;rsa+14;03:37:43.82589;1.3e-04;rsa+14;+17:15:14.828;2.0e-03;rsa+14;4.81;4.9e-01;jkc+18;-4.42;4.2e-01;jkc+18;55920.00;*;ELL1;rsa+14;HeT[rsa+14];*;
149;J0337+79;kkl+15;03:37:22;0.0e+00;mss+20;+79:01:44;0.0e+00;mss+20;*;0;*;*;0;*;56657.00;*;*;*;*;*;
150;J0340+4130;wmg+22;03:40:23.287961;1.1e-05;abb+18;+41:30:45.2911;2.8e-04;abb+18;-0.53;1.1e-01;*;-3.3;2.9e-01;*;56675.00;abb+18;*;*;*;*;
151;J0341+5711;hrk+08;03:41;0;hrk+08;+57:11;0;hrk+08;*;0;*;*;0;*;54100.00;*;*;*;*;*;
152;J0343+06;mgf+19;03:43;0.0e+00;mgf+19;+06;0.0e+00;mgf+19;*;0;*;*;0;*;*;*;*;*;*;*;
153;J0343-3000;bjd+06;03:43:27.94;3.0e-02;bjd+06;-30:00:27.5;4.0e-01;bjd+06;*;0;*;*;0;*;52950.00;*;*;*;*;*;
154;J0343+5312;dth78;03:43:12.90;4.1e-02;hlk+04;+53:12:53.4;6.3e-01;hlk+04;*;0;*;*;0;*;49309.00;hlk+04;*;*;*;*;
155;J0344-0901;clh+20;03:44:37.471;2.0e-03;clh+20;-09:01:02.66;1.0e-01;clh+20;*;0;*;*;0;*;58393.00;*;*;*;*;*;
156;J0348+0432;lbr+13;03:48:43.639000;4.0e-06;afw+13;+04:32:11.4580;2.0e-04;afw+13;+4.04;1.6e-01;afw+13;+3.5;6.0e-01;afw+13;56000.00;*;ELL1;afw+13;He[afw+13];*;
157;J0349+2340;scb+19;03:49:57.38;4.0e-02;mbc+20;+23:40:53;2.0e+00;mbc+20;*;0;*;*;0;*;57813;mbc+20;*;*;*;*;
158;J0355+28;mss+20;03:55;0.0e+00;mss+20;+28;0.0e+00;mss+20;*;0;*;*;0;*;*;*;*;*;*;*;
159;J0357-05;mss+20;03:57:56;0.0e+00;mss+20;-05:09:44;0.0e+00;mss+20;*;0;*;*;0;*;*;*;*;*;*;*;
160;J0357+3205;aaa+09c;03:57:52.5;2.0e-01;rkp+11;+32:05:25;6.0e+00;rkp+11;117;2.0e+01;lmm+13;115;2.0e+01;lmm+13;54946.00;*;*;*;*;*;
161;J0357+5236;dtws85;03:57:44.8403;2.0e-04;dgb+19;+52:36:57.493;1.0e-03;dgb+19;13.88;9.0e-02;dgb+19;-10.61;8.0e-02;dgb+19;56000.00;dgb+19;*;*;*;*;
162;J0358+4155;slr+14;03:58:03.1746;1.2e-03;lsk+18;+41:55:19.03;2.1e-02;lsk+18;*;0;*;*;0;*;56500.00;*;*;*;*;*;
163;J0358+5413;mth72;03:58:53.7238;2.0e-04;lwy+16;+54:13:13.784;3.0e-03;lwy+16;9.3;5.0e-01;lwy+16;8.3;8.0e-01;lwy+16;54096;lwy+16;*;*;*;*;
164;J0358+6627;slr+14;03:58:37.929;3.4e-03;lsk+18;+66:27:46.57;2.2e-02;lsk+18;*;0;*;*;0;*;56500.00;*;*;*;*;*;
165;J0359+5414;cwp+17;03:59:26.01;2.0e-02;cwp+17;+54:14:55.7;3.0e-01;cwp+17;*;0;*;*;0;*;55716;cwp+17;*;*;*;*;
166;J0401-7608;mlt+78;04:01:51.75;1.0e-02;lbs+20;-76:08:12.95;5.0e-02;lbs+20;*;0;*;*;0;*;57600;lbs+20;*;*;*;*;
167;J0402+4825;ccl+21;04:02:40.633;9.0e-03;ccl+21;+48:25:57.51;7.0e-02;ccl+21;*;0;*;*;0;*;58650.00;*;*;*;*;*;
168;J0405+3347;mss+20;04:05;0;mss+20;+33;0.0e+00;mss+20;*;0;*;*;0;*;*;*;*;*;*;*;
169;J0406+30;mss+20;04:06;0.0e+00;mss+20;+30;0.0e+00;mss+20;*;0;*;*;0;*;*;*;*;*;*;*;
170;J0406+6138;dth78;04:06:30.0806;2.0e-04;dgb+19;+61:38:41.408;1.0e-03;dgb+19;12.4;1.0e-01;dgb+19;22.74;8.0e-02;dgb+19;56000.00;dgb+19;*;*;*;*;
171;J0407+1607;lxf+05;04:07:54.939;3.0e-03;lxf+05;+16:07:16.4;2.0e-01;lxf+05;*;0;*;*;0;*;52799.00;*;BT;lxf+05;He[lxf+05];*;
172;J0408+551;hrk+08;04:08;0;hrk+08;+55;0;hrk+08;*;0;*;*;0;*;54100.00;*;*;*;*;*;
173;J0408+552;hrk+08;04:08;0;hrk+08;+55;0;hrk+08;*;0;*;*;0;*;54100.00;*;*;*;*;*;
174;J0410-31;bbj+11;04:10:39;3.3e+01;bbj+11;-31:07:29;4.2e+02;bbj+11;*;0;*;*;0;*;55196.00;*;*;*;*;*;
175;J0413+58;hrk+08;04:13;0;hrk+08;+58;0;hrk+08;*;0;*;*;0;*;54100.00;*;*;*;*;*;
176;J0414+31;mss+20;04:14;0.0e+00;mss+20;+31;0.0e+00;mss+20;*;0;*;*;0;*;*;*;*;*;*;*;
177;J0415+6954;dtws85;04:15:55.653;3.4e-03;hlk+04;+69:54:09.89;2.5e-02;hlk+04;-0.8;5.2e+00;*;-13;6.9e+00;*;49874.00;hlk+04;*;*;*;*;
178;J0417+35;cnst96;04:17:43;1.6e+01;cnst96;+35:45;5.0e+00;cnst96;*;0;*;*;0;*;49717.00;*;*;*;*;*;
179;J0417+61;slr+14;04:17;3.0e+00;slr+14;+61:08;1.8e+01;slr+14;*;0;*;*;0;*;56292.00;*;*;*;*;*;
180;J0418-4154;bcm+16;04:18:03.7748;4.0e-04;lbs+20;-41:54:14.42;6.0e-02;lbs+20;*;0;*;*;0;*;57600;lbs+20;*;*;*;*;
181;J0418+5732;vck+10;04:18:33.867;4.3e-02;vck+10;+57:32:22.91;3.5e-01;vck+10;*;0;*;*;0;*;55045;vck+10;*;*;*;*;
182;J0418+6635;trr+21;04:18:48.0;0;aab+22;+66:35:25;0;aab+22;*;0;*;*;0;*;*;*;*;*;*;*;
183;J0419+44;hrk+08;04:19;0;hrk+08;+44;0;hrk+08;*;0;*;*;0;*;54100.00;*;*;*;*;*;
184;J0420-5022;hmz+04;04:20:01.95;4.0e-02;hmz+04;-50:22:48.1;6.0e-01;hmz+04;*;0;*;*;0;*;55430.60;*;*;*;*;*;
185;J0421-0345;mld+96;04:21:33.556;1.5e-02;hlk+04;-03:45:06.6;6.0e-01;hlk+04;*;0;*;*;0;*;50847.00;hlk+04;*;*;*;*;
186;J0421+3255;ttol16;04:21:33.2;2.0e-01;tbc+20;+32:55:50;1.0e+01;tbc+20;*;0;*;*;0;*;57310.00;*;*;*;*;*;
187;J0426+4933;hrk+08;04:26:06.813;1.0e-03;bck+13;+49:33:38.46;4.0e-02;bck+13;*;0;*;*;0;*;56100.00;*;*;*;*;*;
188;J0435+2749;rtj+96;04:35:51.818;4.0e-03;bfrs18;+27:49:01.7;4.0e-01;bfrs18;*;0;*;*;0;*;53400.00;*;*;*;*;*;
189;J0437-4715;jlh+93;04:37:15.8961737;6.0e-07;rhc+16;-47:15:09.110714;7.0e-06;rhc+16;121.4385;2.0e-03;rhc+16;-71.4754;2.0e-03;rhc+16;54500.00;*;T2;rhc+16;He[vbv+08];*;
190;J0447-04;kkl+15;04:47;1.0e+00;kkl+15;-04:35;1.8e+01;kkl+15;*;0;*;*;0;*;56657.00;*;*;*;*;*;
191;J0448-2749;lml+98;04:48:41.567;5.4e-03;hlk+04;-27:49:46.74;1.1e-01;hlk+04;*;0;*;*;0;*;51009.00;hlk+04;*;*;*;*;
192;J0449-7031;mfl+06;04:49:05.67;5.0e-02;mfl+06;-70:31:31.7;3.0e-01;mfl+06;*;0;*;*;0;*;52465.00;*;*;*;*;*;
193;J0450-1248;mlt+78;04:50:08.781;3.0e-03;hlk+04;-12:48:07.10;9.0e-02;hlk+04;*;0;*;*;0;*;49338.00;hlk+04;*;*;*;*;
194;J0451-67;mfl+06;04:51:50;7.0e+01;mfl+06;-67:18;7.0e+00;mfl+06;*;0;*;*;0;*;52817.00;*;*;*;*;*;
195;J0452-1759;vlw69;04:52:34.1057;1.0e-04;cbv+09;-17:59:23.371;2.0e-03;cbv+09;11.5;9.0e-01;jbv+19;6;2.0e+00;jbv+19;52275;cbv+09;*;*;*;*;
196;J0453+1559;dsm+13;04:53:45.41368;5.0e-05;msf+15;+15:59:21.3063;5.9e-03;msf+15;-5.5;5.0e-01;msf+15;-6.0;4.2e+00;msf+15;56400.00;*;DDH;msf+15;NS[msf+15];*;
197;J0454+4529;mhl+18;04:54:59.310;8.0e-03;tbc+20;+45:29:46.7;1.0e-01;tbc+20;*;0;*;*;0;*;56909.00;*;*;*;*;*;
198;J0454+5543;dth78;04:54:07.7506;1.0e-04;cbv+09;+55:43:41.437;2.0e-03;cbv+09;53.34;6.0e-02;cbv+09;-17.56;1.4e-01;cbv+09;52275;cbv+09;*;*;*;*;
199;J0455-6951;mmh+91;04:55:47.55;8.0e-02;ckm+01;-69:51:34.3;6.0e-01;ckm+01;*;0;*;*;0;*;48757.00;*;*;*;*;*;
200;J0456-69;rcl+13;04:56:30;0;rcl+13;-69:10;0;rcl+13;*;0;*;*;0;*;52038.00;*;*;*;*;*;
201;J0456-7031;mfl+06;04:56:02.5;3.0e-01;mfl+06;-70:31:06.6;1.2e+00;mfl+06;*;0;*;*;0;*;52560.00;*;*;*;*;*;
202;J0457+23;dsm+13;04:57:06;7.0e+00;dsm+13;+23:34:00;1.0e+02;dsm+13;*;0;*;*;0;*;56160.00;*;*;*;*;*;
203;J0457-6337;mfl+06;04:57:07.79;8.0e-02;mfl+06;-63:37:30.4;9.0e-01;mfl+06;*;0;*;*;0;*;52465.00;*;*;*;*;*;
204;J0457-69;rcl+13;04:57:02;0;rcl+13;-69:46;0;rcl+13;*;0;*;*;0;*;55383.00;*;*;*;*;*;
205;J0458-0505;lbr+13;04:58:37.121;2.6e-02;lbr+13;-05:05:05.1;4.0e+00;lbr+13;*;0;*;*;0;*;55178.00;*;*;*;*;*;
206;J0458-67;rcl+13;04:58:59;0;rcl+13;-67:43;0;rcl+13;*;0;*;*;0;*;51810.00;*;*;*;*;*;
207;J0459-0210;mld+96;04:59:51.941;6.7e-03;hlk+04;-02:10:06.6;2.1e-01;hlk+04;*;0;*;*;0;*;50845.00;hlk+04;*;*;*;*;
208;J0501+4516;gwk08;05:01:06.76;1.0e-02;gwk+10;+45:16:33.92;1.1e-01;gwk+10;*;0;*;*;0;*;54750.00;*;*;*;*;*;
209;J0502+4654;dth78;05:02:04.561;4.0e-03;hlk+04;+46:54:06.09;9.0e-02;hlk+04;-8;3.0e+00;hla93;8;5.0e+00;hla93;48717.00;hlk+04;*;*;*;*;
210;J0502-6617;mmh+91;05:02:50.53;1.0e-01;ckm+01;-66:17:58.8;9.0e-01;ckm+01;*;0;*;*;0;*;48771.00;*;*;*;*;*;
211;J0506+50;qpl+19;05:06:14.1;0;aab+22;+50:30:30;0;aab+22;*;0;*;*;0;*;*;*;*;*;*;*;
212;J0509+0856;mgf+19;05:09:22.23485;1.0e-05;mgf+19;+08:56:25.0248;8.0e-04;mgf+19;5.4;2.0e-01;mgf+19;-4.3;5.0e-01;mgf+19;57384.00;*;ELL1;mgf+19;He(?)[mgf+19];*;
213;J0509+37;tkt22;05:09;4.0e+00;tkt22;+37:32;1.5e+01;tkt22;*;0;*;*;0;*;*;*;*;*;*;*;
214;J0509+3801;slr+14;05:09:31.7880;2.6e-04;lsk+18;+38:01:18.083;1.4e-02;lsk+18;*;0;*;*;0;*;56900.00;*;DDGR;lsk+18;NS[lsk+18];*;
215;J0511-6508;mfl+06;05:11:56.50;2.0e-02;mfl+06;-65:08:36.5;3.0e-01;mfl+06;*;0;*;*;0;*;52409.00;*;*;*;*;*;
216;J0514-4002A;fgri04;05:14:06.69271;2.0e-04;rfgr19;-40:02:48.8930;1.9e-03;rfgr19;2.145;2.4e-02;vb21;-0.650;2.4e-02;vb21;58030.00;*;DDH;rfgr19;DNS(?)[rfgr19];*;
217;J0514-4002B;rfg+22;05:14:06.73;8.0e-02;rfg+22;-40:02:47.9;6.0e-01;rfg+22;2.145;2.4e-02;vb21;-0.650;2.4e-02;vb21;*;*;*;*;*;*;
218;J0514-4002C;rfg+22;05:14:06.69;4.0e-02;rfg+22;-40:02:49.4;3.0e-01;rfg+22;2.145;2.4e-02;vb21;-0.650;2.4e-02;vb21;*;*;*;*;*;*;
219;J0514-4002D;rfg+22;05:14:06.73;5.0e-02;rfg+22;-40:02:48.2;5.0e-01;rfg+22;2.145;2.4e-02;vb21;-0.650;2.4e-02;vb21;*;*;BT;rfg+22;CO[rfg+22];*;
220;J0514-4002E;rfg+22;05:14:06.68;6.0e-02;rfg+22;-40:02:47.7;5.0e-01;rfg+22;2.145;2.4e-02;vb21;-0.650;2.4e-02;vb21;*;*;BT;rfg+22;NS[rfg+22];*;
221;J0514-4002F;rfg+22;05:14:06.7;1.0e-01;rfg+22;-40:02:48.5;8.0e-01;rfg+22;2.145;2.4e-02;vb21;-0.650;2.4e-02;vb21;*;*;BT;rfg+22;He(?)[rfg+22];*;
222;J0514-4002G;rfg+22;05:14:06.63;5.0e-02;rfg+22;-40:02:48.1;4.0e-01;rfg+22;2.145;2.4e-02;vb21;-0.650;2.4e-02;vb21;*;*;BT;rfg+22;He(?)[rfg+22];*;
223;J0514-4002H;rfg+22;05:14:06.6;1.0e-01;rfg+22;-40:02:48;1.0e+00;rfg+22;2.145;2.4e-02;vb21;-0.650;2.4e-02;vb21;*;*;BT;rfg+22;He(?)[rfg+22];*;
224;J0514-4002I;rfg+22;05:14:06.75;7.0e-02;rfg+22;-40:02:48.2;6.0e-01;rfg+22;2.145;2.4e-02;vb21;-0.650;2.4e-02;vb21;*;*;BT;rfg+22;He(?)[rfg+22];*;
225;J0514-4002J;rfg+22;05:14:06.7;2.0e-01;rfg+22;-40:02:48;2.0e+00;rfg+22;2.145;2.4e-02;vb21;-0.650;2.4e-02;vb21;*;*;*;*;*;*;
226;J0514-4002K;rfg+22;05:14:06.8;2.0e-01;rfg+22;-40:02:48;2.0e+00;rfg+22;2.145;2.4e-02;vb21;-0.650;2.4e-02;vb21;*;*;*;*;*;*;
227;J0514-4002L;rfg+22;05:14:06.8;1.0e-01;rfg+22;-40:02:48.0;8.0e-01;rfg+22;2.145;2.4e-02;vb21;-0.650;2.4e-02;vb21;*;*;BT;rfg+22;He(?)[rfg+22];*;
228;J0514-4002M;rfg+22;05:14:06.8;2.5e+00;rfg+22;-40:02:48;2.8e+01;rfg+22;2.145;2.4e-02;vb21;-0.650;2.4e-02;vb21;*;*;*;*;*;*;
229;J0514-4002N;rfg+22;05:14:06.7;1.0e-01;rfg+22;-40:02:47;1.0e+00;rfg+22;2.145;2.4e-02;vb21;-0.650;2.4e-02;vb21;*;*;*;*;*;*;
230;J0514-4408;bcm+16;05:14:52.190;3.0e-03;brs+19;-44:08:37.38;2.0e-02;brs+19;*;0;*;*;0;*;57330.00;*;*;*;*;*;
231;J0517+2212;cha03;05:17:17.147;2.0e-03;bfrs18;+22:12:51.9;2.0e-01;bfrs18;*;0;*;*;0;*;53400.00;*;*;*;*;*;
232;J0518+5125;scb+19;05:18:26.145;8.0e-03;mbc+20;+51:25:58.7;2.0e-01;mbc+20;*;0;*;*;0;*;57829;mbc+20;*;*;*;*;
233;J0518+5416;slr+14;05:18:53.199;1.8e-02;lsk+18;+54:16:50.0;2.9e-01;lsk+18;*;0;*;*;0;*;56500.00;*;*;*;*;*;
234;J0519+44;hrk+08;05:19;0;hrk+08;+44;0;hrk+08;*;0;*;*;0;*;54100.00;*;*;*;*;*;
235;J0519-6932;mfl+06;05:19:46.917;1.2e-02;mfl+06;-69:32:23.48;7.0e-02;mfl+06;*;0;*;*;0;*;52466.00;*;*;*;*;*;
236;J0520-2553;lml+98;05:20:36.185;3.4e-03;hlk+04;-25:53:12.29;1.1e-01;hlk+04;*;0;*;*;0;*;51216.00;hlk+04;*;*;*;*;
237;J0521-68;rcl+13;05:21:44;0;rcl+13;-68:35;0;rcl+13;*;0;*;*;0;*;51871.00;*;*;*;*;*;
238;J0522-6847;mfl+06;05:22:23.06;8.0e-02;mfl+06;-68:47:02.2;3.0e-01;mfl+06;*;0;*;*;0;*;52503.00;*;*;*;*;*;
239;J0523-7125;wmk+22;05:23:48.66;3.0e-02;wmk+22;-71:25:52.58;1.5e-01;wmk+22;*;0;*;*;0;*;*;*;*;*;*;*;
240;J0525+1115;mlt+78;05:25:56.4483;1.1e-03;hlk+04;+11:15:19.08;7.0e-02;hlk+04;31;2.0e+00;jbv+19;-1;8.0e+00;jbv+19;48262.00;hlk+04;*;*;*;*;
241;J0525-6607;mgi+79;05:26:00.9;1.0e-01;kkm+03;-66:04:36.3;6.0e-01;kkm+03;*;0;*;*;0;*;52153.00;*;*;*;*;*;
242;J0528+2200;sr68;05:28:52.264;9.0e-03;ywml10;+22:00:04;2.0e+00;ywml10;-20;1.9e+01;hla93;7;9.0e+00;hla93;53100;ywml10;*;*;*;*;
243;J0529-0715;clh+20;05:29:08.973;2.0e-03;clh+20;-07:15:26.43;1.0e-01;clh+20;*;0;*;*;0;*;58372.00;*;*;*;*;*;
244;J0529-6652;mhah83;05:29:50.90;3.0e-02;lbs+20;-66:52:39.9;3.0e-01;lbs+20;*;0;*;*;0;*;57600;lbs+20;*;*;*;*;
245;J0530-39;mss+20;05:30;0.0e+00;mss+20;-39;0.0e+00;mss+20;*;0;*;*;0;*;*;*;*;*;*;*;
246;J0532-6639;mfl+06;05:32:59.51;6.0e-02;mfl+06;-66:39:37.3;5.0e-01;mfl+06;*;0;*;*;0;*;52462.00;*;*;*;*;*;
247;J0532-69;rcl+13;05:32:04;0;rcl+13;-69:46;0;rcl+13;*;0;*;*;0;*;55420.00;*;*;*;*;*;
248;J0533+0402;snt97;05:33:25.828;5.0e-03;lbs+20;+04:01:59.7;2.0e-01;lbs+20;*;0;*;*;0;*;57600;lbs+20;*;*;*;*;
249;J0533-4524;ovm+20;05:33:13.89;4.0e-02;ovm+20;-45:24:50.2;2.0e-01;ovm+20;*;0;*;*;0;*;57605.56;*;*;*;*;*;
250;J0533+6759;san16;05:33:55.1401;3.0e-04;san16;+67:59:17.489;3.0e-03;san16;*;0;*;*;0;*;55877.00;*;*;*;*;*;
251;J0534-13;mss+20;05:34;0.0e+00;mss+20;-13;0.0e+00;mss+20;*;0;*;*;0;*;*;*;*;*;*;*;
252;J0534+2200;sr68;05:34:31.973;5.0e-03;mcn71;+22:00:52.06;6.0e-02;mcn71;-14.7;8.0e-01;nr06;2.0;8.0e-01;nr06;40706;mcn71;*;*;*;*;
253;J0534+34;ttm18;05:34:30;2.0e+01;ttm18;+34:07;1.5e+01;ttm18;*;0;*;*;0;*;*;*;*;*;*;*;
254;J0534-6703;mfl+06;05:34:36.17;1.0e-01;mfl+06;-67:03:48.8;8.0e-01;mfl+06;*;0;*;*;0;*;52410.00;*;*;*;*;*;
255;J0535-66;rcl+13;05:35:40;0;rcl+13;-66:52;0;rcl+13;*;0;*;*;0;*;51393.00;*;*;*;*;*;
256;J0535-6935;ckm+01;05:35;2.0e+00;ckm+01;-69:35;7.0e+00;ckm+01;*;0;*;*;0;*;52200.00;*;*;*;*;*;
257;J0536-7543;mlt+78;05:36:30.82;1.0e-02;jbv+19;-75:43:54.8;1.0e-01;jbv+19;3;4.0e+01;jbv+19;65;8.0e+00;jbv+19;57600;jbv+19;*;*;*;*;
258;J0537-69;rcl+13;05:37:43;0;rcl+13;-69:21;0;rcl+13;*;0;*;*;0;*;55420.00;*;*;*;*;*;
259;J0537-6910;mgz+98;05:37:47.416;1.1e-01;tbf+06;-69:10:19.88;6.0e-01;tbf+06;*;0;*;*;0;*;52061.33;*;*;*;*;*;
260;J0538+2817;fcwa95;05:38:25.0572;1.0e-04;cbv+09;+28:17:09.161;2.0e-03;cbv+09;-23.57;1.0e-01;cbv+09;52.87;1.0e-01;cbv+09;52275;cbv+09;*;*;*;*;
261;J0540+3207;cfl+06;05:40:37.116;1.0e-03;nab+13;+32:07:37.3;1.0e-01;nab+13;*;0;*;*;0;*;54780.00;*;*;*;*;*;
262;J0540-6919;shh84;05:40:11.202;9.0e-03;msl+10;-69:19:54.17;5.0e-02;msl+10;*;0;*;*;0;*;51722;msl+10;*;*;*;*;
263;J0540-7125;lml+98;05:40:30.8;3.0e-01;dsb+98;-71:25:31.4;5.0e-01;dsb+98;*;0;*;*;0;*;49527.17;*;*;*;*;*;
264;J0542-68;rcl+13;05:42:35;0;rcl+13;-68:16;0;rcl+13;*;0;*;*;0;*;51975.00;*;*;*;*;*;
265;J0543+2329;dls72;05:43:09.660;1.1e-02;hlk+04;+23:29:05;5.0e+00;hlk+04;*;0;*;*;0;*;48892.00;hlk+04;*;*;*;*;
266;J0543-6851;mfl+06;05:43:52.71;1.1e-01;mfl+06;-68:51:25.3;9.0e-01;mfl+06;*;0;*;*;0;*;52410.00;*;*;*;*;*;
267;J0544+20;dsm+16;05:44:12;1.2e+02;dsm+16;+20:50;8.0e+00;dsm+16;*;0;*;*;0;*;*;*;*;*;*;*;
268;J0545-03;kkl+15;05:45;2.0e+00;kkl+15;-03:10;3.6e+01;kkl+15;*;0;*;*;0;*;56657.00;*;*;*;*;*;
269;J0546+2441;clm+05;05:46:28.76;3.0e-02;clm+05;+24:41:21;6.0e+00;clm+05;*;0;*;*;0;*;52914.00;*;*;*;*;*;
270;J0550+09;dsm+16;05:50:28;1.1e+02;dsm+16;+09:51;8.0e+00;dsm+16;*;0;*;*;0;*;57022.00;*;*;*;*;*;
271;J0554+3107;pga+13;05:54:05.01;3.0e-02;pga+13;+31:07:41;4.0e+00;pga+13;*;0;*;*;0;*;55214.00;*;*;*;*;*;
272;J0555+3948;bck+13;05:55;5.0e+00;bck+13;+39:48;5.0e+00;bck+13;*;0;*;*;0;*;56375.00;*;*;*;*;*;
273;J0555-7056;mfl+06;05:55:01.85;1.2e-01;mfl+06;-70:56:45.6;6.0e-01;mfl+06;*;0;*;*;0;*;52408.00;*;*;*;*;*;
274;J0556-67;hcb+22;05:56:25;0;hcb+22;-67:29;0;hcb+22;*;0;*;*;0;*;57986.00;*;*;*;*;*;
275;J0557+1550;skl+15;05:57:31.44918;9.0e-05;skl+15;+15:50:06.046;8.0e-03;skl+15;*;0;*;*;0;*;56346.00;*;ELL1;skl+15;He[skl+15];*;
276;J0557-2948;kmk+18;05:57:32.9995;7.0e-04;kmk+18;-29:48:16.804;7.0e-03;kmk+18;*;0;*;*;0;*;57381.00;*;*;*;*;*;
277;J0600-5756;mlt+78;06:00:46.5;3.0e-01;nmc81;-57:56:54;3.0e+00;nmc81;*;0;*;*;0;*;43557.36;*;*;*;*;*;
278;J0601-0527;mlt+78;06:01:58.9752;2.0e-04;dgb+19;-05:27:50.871;4.0e-03;dgb+19;-7.36;7.0e-02;dgb+19;-15.24;9.0e-02;dgb+19;56000.00;dgb+19;*;*;*;*;
279;J0605+3757;san16;06:05:05.5439;1.0e-04;san16;+37:57:35.96;1.0e-02;san16;*;0;*;*;0;*;56130.00;*;DD;san16;He[san16];*;
280;J0608+00;dsm+13;06:08:49;3.0e+01;dsm+13;+00:39;8.0e+00;dsm+13;*;0;*;*;0;*;56033.00;*;*;*;*;*;
281;J0608+1635;ttk+17;06:08:51.662;5.0e-03;psf+22;+16:35:09.4;4.0e-01;psf+22;*;0;*;*;0;*;57584.00;*;*;*;*;*;
282;J0609+2130;lxf+05;06:09:58.8861;2.0e-04;lxf+05;+21:30:02.84;9.0e-02;lxf+05;*;0;*;*;0;*;52758.00;*;*;*;*;*;
283;J0610-2100;bjd+06;06:10:13.596735;7.0e-06;vbc+22;-21:00:27.89913;1.1e-04;vbc+22;9.11;3.0e-02;vbc+22;16.45;3.0e-02;vbc+22;55699;vbc+22;ELL1;vbc+22;UL[pmd+12];*;
284;J0611+04;dsm+16;06:11:18;1.1e+02;dsm+16;+04:06;8.0e+00;dsm+16;*;0;*;*;0;*;57022.00;*;*;*;*;*;
285;J0611+1436;lsb+17;06:11:18.649;1.3e-02;lsb+17;+14:36:52;4.0e+00;lsb+17;*;0;*;*;0;*;55818.00;*;*;*;*;*;
286;J0611+30;cnst96;06:11:16;2.3e+01;cnst96;+30:16;5.0e+00;cnst96;*;0;*;*;0;*;49717.00;*;*;*;*;*;
287;J0612+3721;stwd85;06:12:48.6867;1.5e-03;hlk+04;+37:21:37.36;1.1e-01;hlk+04;5;3.0e+00;*;5;1.2e+01;*;49679.00;hlk+04;*;*;*;*;
288;J0612+37216;slr+14;06:12:44.10;3.0e-02;lsk+18;+37:21:40;2.2e+00;lsk+18;*;0;*;*;0;*;56500.00;*;*;*;*;*;
289;J0613-0200;wmg+22;06:13:43.975901;2.2e-06;rsc+21;-02:00:47.23742;7.2e-05;rsc+21;1.834;5.0e-03;*;-10.353;1.3e-02;*;55636;rsc+21;T2;rsc+21;He[lnl+95];*;
290;J0613+3731;cvh+14;06:13:12.150;1.1e-02;cvh+14;+37:31:38.3;9.0e-01;cvh+14;*;0;*;*;0;*;56000.00;*;*;*;*;*;
291;J0614+2229;dls72;06:14:17.0058;1.0e-04;dgb+19;+22:29:56.848;1.0e-03;dgb+19;-0.24;4.0e-02;dgb+19;-1.25;4.0e-02;dgb+19;56000.00;dgb+19;*;*;*;*;
292;J0614-3329;rrc+11;06:14:10.3478;3.0e-04;rrc+11;-33:29:54.118;4.0e-03;rrc+11;0.58;9.0e-02;gsl+16;-1.92;1.2e-01;gsl+16;55100;rrc+11;BT;rrc+11;He[rrc+11];*;
293;J0614+83;slr+14;06:14;1.0e+01;slr+14;+83:14;1.8e+01;slr+14;*;0;*;*;0;*;56292.00;*;*;*;*;*;
294;J0621+0336;bkl+13;06:21:11.221;5.0e-03;bkl+13;+03:36:45.52;1.0e-01;bkl+13;*;0;*;*;0;*;54236.00;*;*;*;*;*;
295;J0621+1002;cnst96;06:21:22.11436;3.0e-05;dcl+16;+10:02:38.7352;1.5e-03;dcl+16;3.23;1.2e-01;dcl+16;-0.5;5.0e-01;dcl+16;55000.00;*;DD;dcl+16;CO[kas12];*;
296;J0621+2514;san16;06:21:10.8542;1.0e-04;san16;+25:14:03.83;3.0e-02;san16;*;0;*;*;0;*;56300.00;*;ELL1;san16;He[san16];*;
297;J0621-55;kbj+18;06:20:42;3.0e+01;kbj+18;-56:05;7.0e+00;kbj+18;*;0;*;*;0;*;*;*;*;*;*;*;
298;J0622+3749;pga+12;06:22:10.51;2.0e-02;pga+12;+37:49:13.6;9.0e-01;pga+12;*;0;*;*;0;*;55225.00;*;*;*;*;*;
299;J0623+0340;bkl+13;06:23:46.759;1.0e-02;bkl+13;+03:40:06.8;4.0e-01;bkl+13;*;0;*;*;0;*;54666.00;*;*;*;*;*;
300;J0624-0424;mlt+78;06:24:20.028;2.6e-03;hlk+04;-04:24:50.45;1.1e-01;hlk+04;*;0;*;*;0;*;49876.00;hlk+04;*;*;*;*;
301;J0625+10;cnst96;06:25:45;1.6e+01;cnst96;+10:16;5.0e+00;cnst96;*;0;*;*;0;*;49717.00;*;*;*;*;*;
302;J0627+0649;bkl+13;06:27:53.6286;8.0e-04;bkl+13;+06:49:54.13;5.0e-02;bkl+13;*;0;*;*;0;*;54466.00;*;*;*;*;*;
