182;J0630-0046;06:30:26.956;1.2e-02;-00:46:05.85;1.7e-01;*;0;*;0;54355.00;97.9
183;J0630-2834;06:30:49.404393;4.3e-05;-28:34:42.77881;3.7e-04;-46.30;9.9e-01;21.26;5.2e-01;54100.0;34.425
184;J0631+0646;06:31:52.38;2.0e-02;+06:46:14.2;7.0e-01;*;0;*;0;55806;195.2
185;J0631+1036;06:31:27.524;4.0e-03;+10:37:02.5;3.0e-01;*;0;*;0;53850;125.36
186;J0633+1746;06:33:54.1530;2.8e-03;+17:46:12.909;4.0e-02;138;4.0e+00;97;4.0e+00;49793;2.89
187;J0633-2015;06:33:08.86;4.0e-02;-20:15:07.1;6.0e-01;*;0;*;0;53389.00;90.7
188;J0636-4549;06:36:33.744;1.6e-02;-45:49:32.62;1.6e-01;*;0;*;0;52700.00;26.31
189;J0636+5128;06:36:04.847464;4.8e-06;+51:28:59.96547;1.1e-04;3.22;4.1e-02;-1.67;1.1e-01;57277.00;11.108159
190;J0645+5158;06:45:59.082310;4.1e-06;+51:58:14.91313;6.5e-05;1.546;1.9e-02;-7.47;5.0e-02;56809.00;18.248350
191;J0646+0905;06:46:31.025;5.0e-03;+09:05:49.6;3.0e-01;*;0;*;0;57600;147.85
192;J0646-54;06:46:22.4;0;-54:52:57;0;*;0;*;0;*;40.1
193;J0647+0913;06:47:15.68;3.0e-02;+09:13:59.5;6.0e-01;*;0;*;0;54195.00;154.7
194;J0652-0142;06:52:11.106;1.2e-02;-01:42:30.3;4.0e-01;*;0;*;0;54031.00;116.3
195;J0653+4706;06:53:05.813;3.0e-03;+47:06:26.92;4.0e-02;*;0;*;0;57754.00;25.54
196;J0653+8051;06:53:15.09;3.0e-02;+80:52:00.22;1.1e-01;19;3.0e+00;-1;3.0e+00;48712.00;33.31882
197;J0656-2228;06:56:30.207;9.0e-03;-22:28:25.55;1.5e-01;*;0;*;0;52850.00;32.39
198;J0656-5449;06:56:48.990;7.0e-03;-54:49:14.92;4.0e-02;*;0;*;0;53000.00;67.5
199;J0658+0022;06:58:15.209;5.0e-03;+00:22:35.3;3.0e-01;*;0;*;0;54322.00;115.6
200;J0659+1414;06:59:48.196;3.0e-03;+14:14:19.4;3.0e-01;44.07;6.3e-01;-2.40;2.9e-01;57600;13.94
201;J0700+6418;07:00:37.802;4.0e-03;+64:18:11.20;4.0e-02;-2;5.6e+00;-10;7.6e+00;48806.00;8.77387
202;J0702-4956;07:02:39.3;2.0e-01;-49:56:34.2;6.0e-01;*;0;*;0;57086.00;98.7
203;J0709+0458;07:09:08.36539;2.0e-05;+04:58:51.4941;6.0e-04;-0.7;2.0e-01;-1.3;4.0e-01;56983.00;44.2664
204;J0709-5923;07:09:32.533;8.0e-03;-59:23:55.60;4.0e-02;*;0;*;0;53000.00;65
205;J0711-6830;07:11:54.180042;7.2e-06;-68:30:47.36454;4.0e-05;-15.565;9.0e-03;14.180;9.0e-03;55636;18.4096
206;J0719-2545;07:19:07.380;5.0e-03;-25:45:00.23;9.0e-02;*;0;*;0;53000.00;253.89
207;J0720-3125;07:20:24.9620;9.0e-04;-31:25:50.083;1.1e-02;-93.9;1.2e+00;52.8;1.3e+00;52645.1;*
208;J0721-2038;07:21:42.9047;1.1e-03;-20:38:07.061;1.7e-02;*;0;*;0;55187.00;76.010
209;J0725-1635;07:25:00.404;6.1e-03;-16:35:45.82;1.4e-01;*;0;*;0;50884.00;98.98
210;J0726-2612;07:26:08.12;4.0e-02;-26:12:38.1;8.0e-01;*;0;*;0;52950.00;69.4
211;J0729-1448;07:29:16.45;2.0e-02;-14:48:36.8;8.0e-01;*;0;*;0;51367.00;91.89
212;J0729-1836;07:29:32.3369;1.0e-04;-18:36:42.244;2.0e-03;-13.06;1.1e-01;13.27;4.4e-01;56000.00;61.293
213;J0732+2314;07:32:37.5156;8.0e-04;+23:14:54.21;7.0e-02;*;0;*;0;58000.00;44.6724
214;J0734-1559;07:34:45.695;3.0e-03;-15:59:18.24;4.0e-02;*;0;*;0;55000.00;*
215;J0737-2202;07:37:44.071;6.0e-03;-22:02:05.32;1.4e-01;*;0;*;0;51581.00;95.59
216;J0737-3039A;07:37:51.248419;2.6e-05;-30:39:40.71431;1.0e-04;-3.82;6.2e-01;2.13;2.3e-01;54100;48.916
217;J0737-3039B;07:37:51.248419;2.6e-05;-30:39:40.71431;1.0e-04;-3.82;6.2e-01;2.13;2.3e-01;54100;48.920
218;J0738-4042;07:38:32.262;2.0e-03;-40:42:39.42;2.0e-02;-14.0;1.2e+00;13;2.0e+00;57600;160.896
219;J0738+6904;07:38:22.60;3.5e-02;+69:04:20.0;3.2e-01;*;0;*;0;56425.00;17.22
220;J0740+6620;07:40:45.792765;5.0e-06;+66:20:33.51965;7.0e-05;-10.32;3.1e-02;-30.87;4.0e-02;57551;14.96179
221;J0742-2822;07:42:49.058;2.0e-03;-28:22:43.76;4.0e-02;-29;2.0e+00;4;2.0e+00;49326.00;73.728
